"%s was added to your shopping cart.","Товар <strong>%s</strong> успешно добавлен в корзину покупок."
"%s was updated in your shopping cart.","Товар <strong>%s</strong> обновлён в корзине покупок."
"* Required Fields","* Обязательные поля"
"Click <a href=""%s"">here</a> to continue shopping.","Нажмите <a href=""%s"">сюда</a>, чтобы продолжить выбор товаров."
"Close","Закрыть"
"Company","Компания"
"Condition Name","Название условия"
"Configurable Product Image","Изображение настраиваемого товара"
"Configure Cart Item","Настроить позицию в корзине"
"Confirm Password","Подтвердите пароль"
"Content","Содержимое"
"Content Height","Высота содержимого"
"Content Height (css)","Высота содержимого (CSS)"
"Continue","Продолжить"
"Continue Shopping","Вернуться к выбору товаров"
"Continue to Billing Information","Перейти к платёжной информации"
"Continue to Review Your Order","Перейти к просмотру Вашего заказа"
"Continue to Shipping Information","Перейти к информации о доставке"
"Country","Страна"
"Coupon code ""%s"" is not valid.","Неверный код купона ""%s""."
"Coupon code ""%s"" was applied.","Код купона ""%s"" применён."
"Coupon code was canceled.","Код купона отменён."
"Create Billing Address","Создать адрес покупателя"
"Create Shipping Address","Создать адрес доставки"
"Create an order from shopping cart","Создать заказ из корзины покупок"
"Create shopping cart","Создать корзину покупок"
"Customer Address is not valid.","Неверный адрес клиента."
"Customer Information","Информация о клиенте"
"Customer's information","Информация о клиентах"
"Data saving problem","Проблема сохранения данных"
"Default Billing","Способ оплаты по умолчанию"
"Default Shipping","Способ доставки по умолчанию"
"Delete Condition","Удалить условие"
"Details","Подробно"
"Disabled","Отключено"
"Discount Codes","Коды скидок"
"Display Cart Summary","Отображение резюме корзины"
"Display Shopping Cart Sidebar","Отображать боковую панель корзины покупок"
"Display item quantities","Показывать количество товаров"
"Display number of items in cart","Показывать количество позиций в корзине"
"Display number of items in wishlist","Показывать количество позиций в листе пожеланий"
"Easy access to your order history and status","Удобный доступ к истории и статусам ваших заказов"
"Edit","Редактировать"
"Edit Address","Изменить адрес"
"Edit Billing Address","Изменить адрес покупателя"
"Edit Condition","Редактировать условие"
"Edit Items","Изменить товары"
"Edit Shipping Address","Изменить адрес доставки"
"Edit Terms and Conditions","Редактировать Условия и Соглашения"
"Edit Your Cart","Измените данные в корзине покупок"
"Edit item","Изменить позицию"
"Edit item parameters","Изменить параметры позиции"
"Email Address","Email"
"Enable Onepage Checkout","Включить одностраничный заказ"
"Enable Terms and Conditions","Включить Условия и Соглашения"
"Enabled","Включено"
"Enter a New Address","Введите новый адрес"
"Enter your coupon code if you have one.","Введите код купона, если он у вас есть."
"Enter your destination to get a shipping estimate.","Укажите Ваше местоположение для оценки стоимости доставки."
"Estimate Shipping and Tax","Рассчитать стоимость доставки"
"Excl. Tax","Без налога"
"Fast and easy check out","Быстрое оформление заказа"
"Fax","Факс"
"Forgot an Item?","Забыли добавить товар?"
"Forgot your password?","Забыли пароль?"
"Get a Quote","Получить итоговую цену"
"Get list of available payment methods","Получить список доступных методов оплаты"
"Get list of available shipping methods","Получить список доступных методов доставки"
"Get list of products in shopping cart","Получить список товаров в корзине покупок"
"Get terms and conditions","Получить Условия и Соглашения"
"Get total prices for shopping cart","Получить итоговые цены из корзины покупок"
"Gift Message","Подарочное сообщение"
"Grand Total:","Итоговая сумма:"
"Grouped Product Image","Изображение сборного товара"
"HTML","HTML"
"ID","ИД"
"Incl. Tax","Включая налог"
"Invalid checkout type.","Неверный тип оформления заказа."
"Invalid data.","Неверные данные."
"Invalid email address ""%s""","Неверный адрес электронной почты ""%s"""
"Invalid method: %s","Неверный метод: %s"
"Invalid shipping method.","Неверный способ доставки."
"Item not found or already ordered","Товар не найден или уже заказан"
"Items","Товары"
"Items After","Позиции после"
"Items Before","Позиции до"
"Load customer quote error","Ошибка во время загрузки итоговой информации о заказе"
"Loading next step...","Идёт загрузка следующего шага..."
"Login","Вход"
"Login/Registration Before","Войти/Зарегистрироваться перед"
"Manage Checkout Terms and Conditions","Управление Условиями и Соглашениями при оформлении заказа"
"Manage Terms and Conditions","Управление Условиями и Соглашениями"
"Maximum Display Recently Added Item(s)","Максимальное количество последних добавленных позиций для показа"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальное кол-во товара, разрешённое к доставке по нескольким адресам: %s"
"Minimum order amount is %s","Минимальное количество для заказа: %s"
"Move","Переместить"
"Move to Wishlist","Отложить в избранное"
"Multishipping Checkout","Оформление заказа на несколько адресов"
"Multishipping Checkout Address (Any) Form","Форма адреса (любого) оформления заказа на несколько адресов"
"Multishipping Checkout Billing Address Creation","Создание адреса плательщика оформления заказа на несколько адресов"
"Multishipping Checkout Billing Address Edit Form","Форма редактирования адреса плательщика оформления заказа на несколько адресов"
"Multishipping Checkout Billing Address Selection","Выбор адреса плательщика оформления заказа на несколько адресов"
"Multishipping Checkout Billing Information Step","Шаг ввода информации о плательщике оформления заказа на несколько адресов"
"Multishipping Checkout Customer Address Edit Form","Форма редактирования адреса клиента оформления заказа на несколько адресов"
"Multishipping Checkout Overview","Обзор оформления заказа на несколько адресов"
"Multishipping Checkout Shipping Address Creation","Создание адреса доставки оформления заказа на несколько адресов"
"Multishipping Checkout Shipping Address Edit Form","Форма редактирования адреса доставки оформления заказа на несколько адресов"
"Multishipping Checkout Shipping Address Selection","Выбор адреса доставки оформления заказа на несколько адресов"
"Multishipping Checkout Shipping Information Step","Шаг ввода информации о получателе оформления заказа на несколько адресов"
"Multishipping Checkout Success","Оформление заказа на несколько адресов успешно завершено"
"My Cart","Корзина"
"My Cart (%s item)","Корзина (%s шт.)"
"My Cart (%s items)","Корзина (%s шт.)"
"My Cart Link","Ссылка на мою корзину"
"New Address","Новый адрес"
"New Condition","Новое условие"
"New Terms and Conditions","Новые Условия и Соглашения"
"No Payment Methods","Нет методов оплаты"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","КОНЕЧНАЯ СУММА ЗАКАЗА БУДЕТ ПОКАЗАНА ПЕРЕД ТЕМ, КАК ВЫ ПОДТВЕРДИТЕ ЗАКАЗ"
"One Page Checkout","Оформление заказа на одной странице"
"One Page Checkout Failure","Ошибка оформления заказа на одной странице"
"One Page Checkout Overview","Обзор оформления заказа на одной странице"
"One Page Checkout Success","Успех оформления заказа на одной странице"
"One item of products do not have identifier or sku","Один из товаров не имеет идентификатора или артикула(sku)"
"One item of products is not belong any of quote item","Один из товаров не соответствует ни одному товару в предложении"
"Order #","Заказ #"
"Order Review","Подтверждение заказа"
"Order Success","Заказ успешно оформлен"
"Order place error.","Ощибка при создании заказа."
"Other Items in Your Order","Другие товары заказа"
"Overview Items After","Обзор позиций после"
"Password","Пароль"
"Payment Failed Email Reciever","Получатель сообщения о неудавшемся платеже"
"Payment Failed Email Sender","Отправитель сообщения о неудавшемся платеже"
"Payment Failed Emails","Получатели сообщения о неудавшемся платеже"
"Payment Failed Template","Шаблон сообщения о неудавшемся платеже"
"Payment Information","Способ оплаты"
"Payment Method","Способ оплаты"
"Payment Methods After Checkout Button","Способ оплаты после кнопки Заказать"
"Payment Methods Before Checkout Button","Способ оплаты перед кнопкой Заказать"
"Payment method information","Информация о методе платежа"
"Payment method is not defined","Не указан способ оплаты"
"Payment methods in shopping cart","Методы платежа в корзине покупок"
"Payment profile # %s: ""%s"".","Профиль оплаты # %s: ""%s""."
"Place Order","Оформить заказ"
"Please agree to all Terms and Conditions before placing the order.","Перед оформлением заказа Вы должны принять все Условия и Соглашения."
"Please agree to all Terms and Conditions before placing the orders.","Перед оформлением заказов Вы должны принять все Условия и Соглашения."
"Please agree to all the terms and conditions before placing the order.","Перед оформлением заказа Вы должны принять все Условия и Соглашения."
"Please check billing address information.","Пожалуйста, проверьте адрес покупателя."
"Please check shipping address information.","Пожалуйста, проверьте адрес доставки."
"Please check shipping addresses information.","Пожалуйста, проверьте адреса доставки."
"Please choose to register or to checkout as a guest","Пожалуйста, сделайте выбор: зарегистрироваться или оформить заказ без регистрации на сайте"
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Выберите регион"
"Please select shipping address for applicable items","Пожалуйста, выберите адрес доставки для указанных товаров"
"Please select shipping methods for all addresses","Пожалуйста, выберите способы доставки для всех адресов"
"Please select valid payment method.","Пожалуйста, выберите доступный способ оплаты."
"Please specify payment method.","Пожалуйста, укажите способ оплаты."
"Please specify shipping method.","Пожалуйста, укажите способ доставки."
"Please specify shipping methods for all addresses.","Пожалуйста, укажите способ доставки для всех адресов."
"Price","Цена"
"Proceed to Checkout","Оформить заказ"
"Product","Товар"
"Product Name","Название товара"
"Products","Товары"
"Qty","Кол-во"
"Qty:","Кол-во:"
"Quantity was recalculated from %d to %d","Количество было обновлено с %d на %d"
"Quote Lifetime (days)","Время жизни квоты (дней)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","Последние товары в заказе"
"Register","Зарегистрироваться"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учётной записи"
"Register with us for future convenience:","Зарегистрируйтесь на сайте для удобства в будущем:"
"Remove Item","Удалить позицию"
"Remove Product","Удалить товар"
"Remove This Item","Удалить позицию"
"Remove coupon code from shopping cart","Удалить код купона из корзины покупок"
"Remove item","Удалить позицию"
"Remove product from shopping cart","Удалить товар из корзины покупок"
"Remove product(s) from shopping cart","Удалить товары из корзины покупок"
"Require Customer To Be Logged In To Checkout","Для оформления заказа требуется войти в систему"
"Retrieve information about shopping cart","Получить информацию о корзине покупок"
"Review Order","Обзор заказа"
"Review Order - %s","Обзор заказа - %s"
"Sales","Продажи"
"Save Condition","Сохранить условие"
"Save in address book","Сохранить в адресной книге"
"See price before order confirmation.","Просмотрите цены перед подтверждением заказа."
"Select Address","Выберите адрес"
"Select Addresses","Выберите адреса"
"Select Shipping Method","Выберите способ доставки"
"Select State/Province...","Выберите Штат/провинцию..."
"Select a billing address from your address book or enter a new address.","Выберите адрес из вашей адресной книги или введите новый."
"Select a shipping address from your address book or enter a new address.","Выберите адрес доставки из адресной книги или введите новый."
"Send Payment Failed Email Copy Method","Способ отправки копии сообщения о неудавшемся платеже для доп. получателя"
"Send Payment Failed Email Copy To","Доп. получатель сообщения о неудавшемся платеже"
"Send To","Получатель"
"Separate by "",""."
"Set customer for shopping cart","Указать клиента для корзины покупок"
"Set customer's addresses in shopping cart","Указать адреса клиента в корзине покупок"
"Set payment method","Указать метод платежа"
"Set shipping method","Указать способ доставки"
"Ship to Multiple Addresses","Доставить заказ на несколько адресов"
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить на этот адрес"
"Shipping Address","Адрес доставки"
"Shipping Information","Адрес доставки"
"Shipping Method","Способ доставки"
"Shipping Methods","Способы доставки"
"Shipping To","Доставить"
"Shipping information","Адрес доставки"
"Shipping method has not been selected yet","Способ доставки еще не был выбран"
"Shipping methods in shopping cart","Способы доставки в корзине покупок"
"Shipping selection is not applicable.","Выбранная доставка не применима."
"Shopping Cart","Корзина"
"Shopping Cart Form Before","Корзина - форма до"
"Shopping Cart Sidebar","Корзина - боковая панель"
"Shopping Cart Sidebar Extra Actions","Корзина - боковая панель. Дополнительные действия"
"Shopping Cart is Empty","Корзина пуста"
"Shopping cart ability to set coupon code","Возможность указать код купона в корзине покупок"
"Show Content as","Показать содержимое как"
"Some of the requested products are not available in the desired quantity.","Некоторые запрошенные товары недоступны или в недостаточном количестве."
"Some of the requested products are unavailable.","Некоторые запрошенные товары недоступны."
"Some products quantities were recalculated because of quantity increment mismatch","Для некоторых товаров были изменены количества, так как количества не соответствовали указанному шагу"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Извините, оформление заказа для анонимных посетителей на разрешено. Пожалуйста, попробуйте снова или свяжитесь с владельцем магазина."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Извините, оформление заказа для анонимных посетителей на разрешено. Пожалуйста, попробуйте снова или свяжитесь с владельцем магазина."
"Sorry, no quotes are available for this order at this time.","Извините, в данный момент отсутствуют варианты выбора для этого заказа."
"State/Province","Регион"
"Status","Статус"
"Store View","Представление магазина"
"Street Address","Адрес"
"Street Address %s","Адрес %s"
"Submitting order information...","Отправление информации о заказе..."
"Subtotal","Итого"
"Subtotal must exceed minimum order amount","Промежуточный итог должен превышать установленную минимальную сумму заказа"
"Telephone","Телефон"
"Terms and Conditions","Условия и Соглашения"
"Terms and Conditions Information","Информация об Условиях и Соглашениях"
"Terms and conditions","Условия и Соглашения"
"Text","Текст"
"Thank you for your purchase!","Спасибо за покупку!"
"The condition has been deleted","Условие удалено."
"The condition has been saved.","Условие сохранено."
"The onepage checkout is disabled.","Одностраничный заказ отключён."
"The product could not be found.","Товар не найден."
"The product does not exist.","Товар больше не существует."
"There are <a href=""%s"">%s items</a> in your cart.","В вашей корзине <a href=""%s""><strong>%s товара(ов)</strong></a>."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","В вашей корзине <a href=""%s""><strong>%s товара(ов)</strong></a>."
"There are <strong>%s items</strong> in your cart","В вашей корзине <strong>%s товара(ов)</strong>."
"There is <a href=""%s"">1 item</a> in your cart.","В вашей корзине <a href=""%s""><strong>1 товар</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","В вашей корзине <a href=""%s""><strong>1 товар</strong></a>."
"There is <strong>1 item</strong> in your cart","В вашей корзине <strong>1 товар</strong>."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Учётная запись с таким адресом электронной почты уже существует. Войдите на сайт, используя этот адрес электронной почты, или укажите другой адрес для создания учётной записи."
"There was an error processing your order. Please contact us or try again later.","Во время обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"This condition no longer exists.","Условие больше не существует."
"Total","Всего"
"Total for this address","Итого для этого адреса"
"Unable to set Payment Method.","Невозможно установить способ оплаты."
"Unit Price","Цена за шт."
"Update Cart","Обновить корзину"
"Update Qty &amp; Addresses","Обновить количество и адреса"
"Update Shopping Cart","Обновить корзину"
"Update Total","Обновить итоговую сумму"
"Update product quantities in shopping cart","Обновить количества товара в корзине покупок"
"Update product(s) quantities in shopping cart","Обновить количества товаров в корзине покупок"
"Use Billing Address","Использовать адрес покупателя"
"VAT Number","Номер плательщика НДС"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Мы обрабатываем ваш заказ. В ближайшее время вы получите электронное письмо с подробной информацией о заказе. После отправки заказа вы получите еще одно письмо со ссылкой для отслеживания пути посылки."
"What's this?","Что это?"
"You have no items in your shopping cart.","Ваша корзина пуста."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо на ваш email с подробной информацией о заказе и ссылкой на страницу, на которой можно проверить текущий статус заказа."
"Your <a href=""%s"">Shopping cart</a> is empty.","Ваша <a href=""%s"">корзина</a> пуста"
"Your Checkout Progress","Стадии оформления"
"Your billing agreement # is: %s.","Номер вашего платёжного соглашения: %s"
"Your order # is: %s.","Номер вашего заказа: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Ваш заказ не может быть завершён в данный момент, поскольку для него нет доступных методов оплаты."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Ваш заказ не может быть завершён в данный момент, поскольку для него нет доступных методов доставки. Пожалуйста, внесите необходимые изменения в адрес доставки."
"Your order has been received","Ваш заказ принят"
"Your order has been received.","Ваш заказ принят."
"Your order number is ","Номер вашего заказа "
"Your recurring payment profiles:","Ваши профили повторяющихся платежей:"
"Your shopping cart is empty","Ваша корзина пуста"
"Zip/Postal Code","Почтовый индекс"
"osCommerce Orders","Заказы osCommerce"
"View shopping cart","Перейти в корзину"
