"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"%s and above","%s и больше"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Неверный код атрибута. Пожалуйста, используйте в этом поле только буквы (a-z), цифры (0-9) или подчёркивания(_). Первый символ должен быть буквой."
"Attribute group with the \"/name/\" name already exists","Группа атрибутов с названием \"/name/\" уже существует"
"Attribute group with the \/name/\"" name already exists""","Группа атрибутов с названием \/name/\"" уже существует"""
"Attribute remove","Удалить атрибут"
"Attribute with the same code already exists","Атрибут с таким кодом уже существует"
"Attributes","Атрибуты"
"Attrribute names can be specified per store.","Названия атрибутов могут быть определены для каждого магазина."
"Autogenerate","Автогенерация"
"Availability:","Статус:"
"Back","Вернуться"
"Backend Model","Backend модель"
"Backend Table","Backend таблица"
"Backend Table Title","Название Backend таблицы"
"Backorders","Задолженные заказы"
"Based On","Основано на"
"Before Order Confirmation","Перед подтверждением заказа"
"Best Value","Позиция в категории"
"Block after Info Column","Блок после информационной колонки"
"Bottom Block Options Wrapper","Оболочка настроек нижнего блока"
"Bottom/Left","Низ/Лево"
"Bottom/Right","Низ/Право"
"Browse By","Просмотреть по"
"Bundle Items","Набор товаров"
"Buy %1$s","Купи %1$s"
"Buy %1$s for","Купи %1$s за"
"Buy %1$s for %2$s","Купи %1$s шт. по %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купи %1$s шт. по %2$s (%3$s вкл. налог) каждый"
"Buy %1$s for %2$s each","Купи %1$s шт. по %2$s каждый"
"Buy %1$s with %2$s discount each","Купи %1$s шт. со скидкой %2$s на каждый"
"Cache Lifetime (Seconds)","Время жизни кэша (в секундах)"
"Cache refresh needed.","Необходимо обновление кэша."
"Can be Divided into Multiple Boxes for Shipping","При доставке может быть упковано в несколько коробок"
"Can be used only with catalog input type Dropdown","Может быть использовано только с типом ввода 'выпадающий список'"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Может быть использовано только с типом ввода 'выпадающий список', 'множественный выбор' и 'цена'"
"Can\'t create image.","Невозможно создать изображение."
"Cancel","Отменить"
"Cannot create image.","Невозможно создать изображение."
"Cannot create writeable directory '%s'.","Невозможно создать папку с правами на запись '%s'."
"Cart Item Attribute","Атрибут единицы корзины"
"Catalog","Каталог"
"Catalog Category (Anchor)","Категория каталога (зафиксирована)"
"Catalog Category (Non-Anchor)","Категория каталога (не зафиксирована)"
"Catalog Category (Without Subcategories)","Категория каталога (без подкатегорий)"
"Catalog Category Link","Ссылка на категорию каталога"
"Catalog New Products List","Список новых товаров каталога"
"Catalog Price Scope","Область действия цен каталога"
"Catalog Product Compare List","Список товаров каталога для сравнения"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Ссылка на товар каталога"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Section","Раздел каталога"
"Catalog Seo Popular Search Terms","Catalog Seo Popular Search Terms"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Catalog product custom option values API","API значений настраиваемых вариантов каталога товаров"
"Catalog product custom options API","API настраиваемых вариантов каталога товаров"
"Catalog, Search","Каталог, поиск"
"Categories","Категории"
"Categories Sitemap","Карта категорий"
"Category","Категория"
"Category API","API категорий"
"Category Data","Данные категории"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Товары категории"
"Category Top Navigation","Начало навигации категории"
"Category URL Suffix","URL суффикс категории"
"Category attributes API","API атрибутов категорий"
"Category move error","Ошибка при перемещении категории"
"Category move error %s","Ошибка при перемещении категории %s"
"Category move operation is not possible: parent category is equal to child category.","Операция по перемещению категории невозможна: родительская категория таже, что и дочерняя категория."
"Category move operation is not possible: the current category was not found.","Операция по перемещению категории невозможна: текущая категория не найдена."
"Category move operation is not possible: the new parent category was not found.","Операция по перемещению категории невозможна: новая родительская категория не найдена."
"Category must be an instance of Mage_Catalog_Model_Category.","Категория должна быть экземпляром класса Mage_Catalog_Model_Category."
"Center","Центр"
"Change","Изменить"
"Change or Retrieve attribute store view","Изменить/получить атрибут представления магазина"
"Change status","Изменить статус"
"Check items to add to the cart or","Выберите позиции для добавления в корзину покупок или"
"Choose an Option...","Выберите вариант..."
"Clear All","Очистить все"
"Clear Price","Очистить цену"
"Click for price","Узнать цену"
"Close Window","Закрыть окно"
"Collapse All","Свернуть все"
"Comma-separated.","Разделение запятыми."
"Comparable","Сравнимый"
"Comparable on Front-end","Сравнимый в пользовательской части"
"Comparable on the Frontend","Сравнимый в пользовательской части"
"Compare","Сравнить"
"Compare Products","Сравнение товаров"
"Compare Products (%d)","Сравнение товаров (%d)"
"Compare Products - %d Items","Сравнение товаров (%d)"
"Conditions Combination","Комбинация условий"
"Configurable Product","Настраиваемый товар"
"Configurable Product Settings","Параметры настраиваемого товара"
"Configure Product","Настроить товар"
"Continue","Продолжить"
"Copy From Configurable","Скопировать из настраиваемого"
"Country/State","Страна/область"
"Create","Создать"
"Create (Upload)","Создать (Закачать)"
"Create Empty","Создать пустым"
"Create Permanent Redirect for URLs if URL Key Changed","Создать постоянную переадресацию для старых URL при смене ключа URL"
"Create Permanent Redirect for old URL","Создать постоянную переадресацию для старых URL"
"Create Permanent Redirect for old URLs if Url key changed","Создать постоянную переадресацию для старых URL при смене ключа url"
"Create Product Settings","Настройки создания товара"
"Create Simple Associated Product","Создать простой объединённый товар"
"Create attribute set based on another set","Создать набор атрибутов на основе другого набора"
"Create new attribute","Создать новый атрибут"
"Create new category","Создать новую категорию"
"Create new product","Создать новый товар"
"Cross-sells","Перекрёстные продажи"
"Currently Shopping By","Выбранные параметры"
"Currently Shopping by:","Выбранные параметры:"
"Custom Design","Настраиваемый дизайн"
"Custom Options","Настраиваемые варианты"
"Custom options","Настраиваемые варианты"
"Customer Group","Группа клиентов"
"Customers Reviews","Отзывы клиентов"
"Customers Tagged Product","Клиенты, пометившие товар"
"Customers for alert %s were successfuly added to queue","Клиенты успешно добавлены в очередь для оповещения %s"
"Data Type for Saving in Database","Тип данных для сохранение в базе данных"
"Date & Time Custom Options","Настраиваемые параметры Date & Time"
"Date Fields Order","Порядок вывода полей дат"
"Date Subscribed","Дата подписки"
"Datetime","Дата и время"
"Decimal","Десятичное"
"Declare attribute value saving scope","Объявить диапазон действия сохраняемого значения атрибута"
"Default ""What's This"" Text Message","Значение по умолчанию текстового сообщения ""Что это"""
"Default Popup Text Message","Значение по умолчанию всплывающего текстового сообщения"
"Default Price","Цена по умолчанию"
"Default Price Navigation Step","Цена по умолчанию. Шаг навигации"
"Default Qty","Кол-во по умолчанию"
"Default Values","Значения по умолчанию"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Указать область действия основной валюты (""Установки валюты"" > ""Параметры валюты"" > ""Основная валюта"")."
"Delete","Удалить"
"Delete Attribute","Удалить атрибут"
"Delete Attribute Set","Удалить набор атрибутов"
"Delete Category","Удалить категорию"
"Delete Group Price","Удалить цену для группы"
"Delete Option","Удалить вариант"
"Delete Row","Удалить строку"
"Delete Search","Удалить поиск"
"Delete Selected Group","Удалить выбранную группу"
"Delete Tier","Удалить уровень"
"Delete attribute","Удалить атрибут"
"Delete category","Удалить категорию"
"Delete product","Удалить товар"
"Depends on design theme","Зависит от дизайна темы"
"Descriptions","Описания"
"Design","Дизайн"
"Details","Подробности"
"Disabled","Отключено"
"Disallowed file type.","Запрешённый тип файла."
"Display Actual Price","Отображать текущую цену"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Отображать интервал цен как единую цену"
"Display Product Count","Отображать количество товара"
"Display Settings","Настройки отображения"
"Display Type","Тип отображения"
"Display in Suggested Terms","Отображать в предлагаемых условиях"
"Double click on a group to rename it","Двойной щелчок по группе для её переименования"
"Double click on above image to view full picture","Двойной клик для просмотра в полный размер"
"Downloadable Information","Скачиваемая информация"
"Duplicate","Дублировать"
"Duplicate website group price customer group.","Обнаружен дубликат записи для групповой цены сайта и группы клиентов."
"Duplicate website tier price customer group and quantity.","Обнаружен дубликат дифференцированной цены сайта, группы пользователей и количества."
"Duplicate website, country and state tax found.","Обнаружен дубликат сайта, страны и ставки налогов."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Например: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Обработка динамических данных влияет на скорость работы каталога."
"Edit","Редактировать"
"Edit Attribute Set '%s'","Редактировать набор атрибутов '%s'"
"Edit Product Attribute","Редактировать атрибут товара"
"Edit Product Attribute ""%s""","Редактировать атрибут товара ""%s"""
"Edit Search","Редактировать поиск"
"Edit Search '%s'","Редактировать поиск '%s'"
"Edit Set Name","Редактировать название набора"
"Email","Электронная почта (e-mail)"
"Email to %s was not sent.","Письмо по адресу %s не отослано."
"Email to a Friend","Отправить другу"
"Empty","Очистить"
"Enable MAP","Включить РРЦ (рекомендованные розничные цены)"
"Enable Qty Increments","Включить увеличение кол-ва"
"Enable WYSIWYG","Включить WYSIWYG"
"Enable for reindexing a big number of SKUs.","Включить для создания индексов при большом количестве артикулов (SKU)."
"Enabled","Включено"
"Error during retrieval of option value: %s","Ошибка при выборе значения варианта: %s"
"Exclude","Исключить"
"Expand All","Развернуть все"
"Failed","Не удалось"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Не удалось скопировать файл %s. Пожалуйста, удалите содержимое с отсутствующими изображениями и повторите попытку."
"Failed to move file: %s","Не удалось переместить файл: %s"
"Feature Products","Рекомендуемые товары"
"Field is not complete","Поле не заполнено"
"File options format is not valid.","Формат файла параметров недействительный."
"File upload failed","Закачка файла не удалась"
"Filter model name must be declared.","Название модели фильтра должно быть объявлено."
"Filter must be an object. Please set correct filter.","Фильтр должен быть объектом. Пожалуйста, установите правильный фильтр."
"Filterable (no results)","Фильтруемый (нет результатов)"
"Filterable (with results)","Фильтруемый (с результатами)"
"First Name","Имя"
"Fixed","Фиксированное значение"
"For internal use.","Для внутреннего использования."
"For the last time placed.","Для последнего поиска."
"Frontend","Пользовательская часть"
"Frontend Model","Модель пользовательской части"
"Frontend Properties","Свойства пользовательской части"
"Gallery","Галерея"
"General","Основные параметры"
"General Information","Общая информация"
"Get full information about attribute with list of options","Получить полную информацию об атрибуте, включая список вариантов"
"Get full information about custom option in product","Получить полную информацию о настраиваемом варианте товара"
"Get list of available custom option types","Получить список всех типов настраиваемых вариантов"
"Get list of non-default attributes by product type and attributes set","Получить список атрибутов, исключая стандартные, по типу товара и набору атрибута"
"Get list of possible attribute types","Получить список всех возможных типов атрибутов"
"Get special price","Получить цену особого предложения"
"Gift Options","Параметры подарка"
"Global","Глобально"
"Globally Editable","Редактируемые везде"
"Go to Home Page","Перейти на главную страницу"
"Grid","Сетка"
"Group add","Добавить группу"
"Group remove","Удалить группу"
"Grouped Product","Сборный товар"
"Groups","Группы"
"Home","Главная"
"ID","ИД"
"ID: %s","ИД: %s"
"If empty, the Category Name will be used","Если значение пустое, то будет использовано название категории"
"If empty, the Product Name will be used","Если значение пустое, то будет использовано название товара"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Если вы не укажете значение варианта для представления магазина, тогда будет использовано значение по умолчанию."
"Image","Изображение"
"Image content is not valid base64 data.","Содержимое файла изображения не является корректными данными base64."
"Image does not exist.","Изображение не существует."
"Image file was not found.","Файл изображения не найден."
"Image type and information need to be specified for each store view.","Тип и информация изображения должны быть указаны для каждого представления магазина."
"Images","Изображения"
"In Cart","В корзине"
"In Stock","Есть в наличии"
"In stock","Есть в наличии"
"Incl. Tax","Включая налог"
"Index product and categories URL rewrites","Проиндексировать правила URL для товаров и категорий"
"Index product attributes for layered navigation building","Проиндексировать атрибуты товаров для построения многослойной навигации"
"Index product prices","Проиндексировать цены товаров"
"Indexed category/products association","Проиндексированные ассоциации категория/товары"
"Info","Информация"
"Info Column Options Wrapper","Оболочка настроек столбца информации"
"Input Type","Тип ввода"
"Integer","Целое"
"Interval Division Limit","Предел деления интервала"
"Invalid Tier Prices","Неверные дифференцированные цены"
"Invalid attribute %s","Неверный атрибут %s"
"Invalid attribute %s.","Неверный атрибут %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Для атрибута %s указано неправильное значение варианта (%s), пропуск записи."
"Invalid attribute set specified, skipping the record.","Указан неверный набор атрибутов, пропуск записи."
"Invalid block: %s.","Неверный блок: %s."
"Invalid category IDs.","Неверные идентификаторы категории."
"Invalid category.","Неверная категория."
"Invalid image file type.","Неправильный тип файла изображения."
"Invalid image type.","Неправильный тип изображения."
"Invalid option ID specified for %s (%s), skipping the record.","Указан неправильный ИД варианта для %s (%s), пропуск записи."
"Invalid product type specified, skipping the record.","Указан неправильный тип товара, пропуск записи."
"Invalid store specified","Указан неправильный магазин"
"Invalid store specified, skipping the record.","Указан неправильный магазин, пропуск записи."
"Invalid tier prices. The product is not associated to the requested website.","Неверные дифференцированные цены. Товар не привязан к запрашиваемому сайту."
"Invalid transactional email code.","Неверный код транзакционного письма (email)."
"Inventory","Склад"
"Is Default","По умолчанию"
"Is Required","Обязательно"
"Items %s to %s of %s total","Товары с %s по %s из %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Позиции, которые вы не хотите отображать в каталоге или в результатах поиска должны иметь статус «Отключено» в нужном магазине."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Позиции, которые вы не хотите отображать в каталоге или в результатах поиска должны иметь статус «Отключено» в нужном магазине."
"Keep your eyes open for our special Back to School items and save A LOT!","Обрати внимание на наши товары специального предложения Снова в Школу и СЭКОНОМЬ!"
"Label","Заголовок"
"Last Name","Фамилия"
"Last Notification","Последнее уведомление"
"Layered Navigation","Многоуровневая навигация"
"Learn More","Узнать больше"
"Line %d, Email: %s","Строка %d, почта: %s"
"Line %d, SKU: %s","Строка %d, артикул: %s"
"Link (Related, Up sell, Cross sell)","Ссылка (сопутствующие, похожие, импульсивные)"
"Link product does not exist.","Ссылка на товар не существует."
"Link to a Specified Category","Ссылка на указанную категорию"
"Link to a Specified Product","Ссылка на указанный товар"
"List","Список"
"List Mode","Режим списка"
"List of Products that are set as New","Список товаров, помеченных как новый товар"
"List of types","Список типов"
"Manage Attribute Sets","Управление наборами атрибутов"
"Manage Attributes","Управление атрибутами"
"Manage Catalog Categories","Управление категориями каталога"
"Manage Categories","Управление категориями"
"Manage Label / Options","Управление заголовками / вариантами"
"Manage Options (values of your attribute)","Управление вариантами (значения вашего атрибута)"
"Manage Product Attributes","Управление атрибутами товара"
"Manage Product Sets","Управление наборами товаров"
"Manage Products","Управление товарами"
"Manage Stock","Управление наличием"
"Manage Titles (Size, Color, etc.)","Управление заголовками (размер, цвет и т.д.)"
"Max Characters","Максимальное кол-во знаков"
"Maximal Depth","Максимальная глубина"
"Maximum Image Size","Максимальный размер изображения"
"Maximum Number of Price Intervals","Максимальное кол-во интервалов цены"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во товара, разрешённое в корзине"
"Maximum allowed image size for '%s' is %sx%s px.","Максимальный разрешённый размер изображения для '%s' - %sx%s px."
"Maximum image height","Максимальная высота изображения"
"Maximum image width","Максимальная ширина изображения"
"Maximum number of characters:","Максимальное кол-во знаков:"
"Maximum number of price intervals is 100","Максимальное кол-во интервалов цены: 100"
"Media Image","Медиа изображение"
"Meta Information","Meta информация"
"Minimum Advertised Price","Рекомендованная розничная цена"
"Minimum Lines per Page","Минимальное количество строк на страницу"
"Minimum Qty Allowed in Shopping Cart","Минимальное кол-во товаров, разрешённое в корзине"
"Minimum Qty for Item\'s Status to be Out of Stock","Минимальное кол-во товара на складе, необходимое для того, чтобы товар получил статус ""нет в наличии"""
"Missing SKU, skipping the record.","Отсутствует артикул (SKU), пропуск записи."
"More Views","Другие изображения"
"Move","Переместить"
"Move category in tree","Переместить категорию в дереве"
"Must be in the allowed values list.","Должен быть в списке разрешённых значений."
"N/A","Н/Д"
"Name","Название"
"Name in %s","Название в %s"
"New Category","Новая категория"
"New Product","Новый товар"
"New Product Attribute","Новый атрибут товара"
"New Products","Новые товары"
"New Products Grid Template","Новые товары - шаблон в виде сетки"
"New Products List Template","Новые товары - шаблон в виде списка"
"New Root Category","Новая корневая категория"
"New Search","Новый поиск"
"New Set Name","Название нового набора"
"New Subcategory","Новая подкатегория"
"New products","Новые товары"
"Next","Следующая"
"No","Нет"
"No image","Нет изображения"
"No layout updates","Нет обновлений макета"
"No layout updates.","Нет обновлений макета."
"No options of this product are available.","Недоступны варианты для этого товара."
"No product collections found.","Не найдено коллекций товара."
"None","Нет"
"Not Visible Individually","Не видим по отдельности"
"Notify Low Stock RSS","RSS заканчивающихся товаров"
"Notify for Quantity Below","Оповещать о количестве ниже"
"Number of Products per Page","Кол-во товаров на страницу"
"Number of Products to Display","Кол-во товаров для отображения"
"Number of Uses","Кол-во использований"
"Number of results","Количество результатов"
"Number of results (For the last time placed)","Количество результатов (для последнего раза)"
"Number of results<br/>(For the last time placed)","Количество результатов<br/>(для последнего раза)"
"OK","OK"
"OR",""
"Old Price:","Старая цена:"
"On Gesture","По запросу"
"Option validation failed to add product to cart.","Не пройдена проверка варианта для добавления товара в корзину."
"Option values","Значения вариантов"
"Option:","Вариант:"
"Options","Варианты"
"Options Control","Управление вариантами"
"Options is required","Необходимы варианты"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Наш сервис обслуживания клиентов доступен 24/7. Звоните нам на (123) DEMO-NUMBER."
"Out of Stock","Нет в наличии"
"Out of stock","Нет в наличии"
"PM","PM"
"Page Title Separator","Разделитель заголовка страницы"
"Parent Category","Родительская категория"
"Pending","В очереди"
"Pending Reviews RSS","RSS неподтвержденных отзывов"
"Percentage","Процент"
"Please add rows to option.","Пожалуйста, добавьте варианты."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Будьте внимательны, при щелчке на строке будет загружена информация из выбранного файла и все не сохранённые данные будут потеряны."
"Please click on the Close Window button if it is not closed automatically.","Пожалуйста, нажмите кнопку Закрыть окно, если оно не закрывается автоматически."
"Please enter a new group name","Пожалуйста, укажите название новой группы"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Пожалуйста, обновите ""Правила URL каталога"" и ""Атрибуты товара"" на странице Система -&gt; <a href=""%s"">Управление индексами</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Пожалуйста, обновите ""Правила URL каталога"" и ""Атрибуты товара"" на странице Система -> <a href=""%s"">Управление индексами</a>"
"Please select a static block ...","Пожалуйста, выберите статичные блоки ..."
"Please select items.","Пожалуйста, выберите позиции."
"Please select one or more attributes.","Пожалуйста, выберите один или несколько атрибутов."
"Please select product(s).","Пожалуйста, выберите товар(ы)."
"Please select products for attributes update","Пожалуйста, выберите товары для обновления атрибутов"
"Please specify date required option(s).","Пожалуйста, укажите обязательные параметры даты."
"Please specify the number of products, that will not be divided into subintervals.","Укажите количество товаров, которое не будет дробиться на подинтервалы."
"Please specify the product required option(s)","Пожалуйста, укажите обязательные параметры товара"
"Please specify the product required option(s).","Пожалуйста, укажите обязательные параметры товара."
"Please specify the product's option(s).","Пожалуйста, укажите параметры товара."
"Please specify the product's required option(s).","Пожалуйста, укажите обязательные параметры товара."
"Please specify the product\'s option(s).","Пожалуйста, укажите параметры товара."
"Please specify the product\'s required option(s).","Пожалуйста, укажите обязательные параметры товара."
"Please specify the quantity of product(s).","Пожалуйста, укажите количество товара."
"Please specify time required option(s).","Пожалуйста, укажите обязательные параметры времени."
"Please wait...","Пожалуйста, подождите..."
"Position","Позиция"
"Position in Layered Navigation","Позиция в многоуровневой навигации"
"Position of attribute in layered navigation block","Позиция атрибута в блоке многоуровневой навигации"
"Prev","Пред"
"Previous","Предыдущая"
"Price","Цена"
"Price Navigation Step Calculation","Цена. Шаг навигации. Вычисление"
"Price Type","Тип цены"
"Price is not available","Цена не доступна"
"Price values for options should be specified in system base currency.","Значения цен для вариантов должны быть указаны в основной валюте системы."
"Price:","Цена:"
"Price: %s","Цена: %s"
"Prices","Цены"
"Print This Page","Распечатать страницу"
"Product","Товар"
"Product API","API товара"
"Product Alerts","Оповещения о товаре"
"Product Attribute","Атрибут товара"
"Product Attributes","Атрибуты товара"
"Product Categories","Категории товара"
"Product Description","Описание товара"
"Product Extra Info","Дополнительная информация товара"
"Product Flat Data","Product Flat Data"
"Product ID","ИД товара"
"Product Image Placeholders","Изображения товара по умолчанию"
"Product Image Watermarks","Водные знаки изображения товара"
"Product Images","Изображения товара"
"Product Images API","API изображений товара"
"Product In Websites","Товар на сайтах"
"Product Info Column","Информация о товаре"
"Product Information","Информация о товаре"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","Сортировать список товаров по критерию"
"Product Name","Название товара"
"Product Prices","Цены товара"
"Product Reviews","Отзывы о товаре"
"Product Tags","Метки товара"
"Product Tier Price API","API дифференцированных цен"
"Product Type","Тип товара"
"Product URL Suffix","Суффикс для ссылки на товар"
"Product View Extra Hint","Просмотр товара. Дополнительная подсказка."
"Product attribute sets API","API набора атрибутов товара"
"Product attributes API","API атрибутов товара"
"Product collection expected.","Ожидается коллекция товара."
"Product is not loaded","Товар не загружен"
"Product links API (related, cross sells, up sells)","API ссылок товара (сопутствующие, импульсивные, похожие)"
"Product name","Название товара"
"Product types API","API типов товара"
